43	WebAIM	https://webaim.org/
100	W3C WAI-ARIA	https://www.w3.org/WAI/standards-guidelines/aria/
102	IAAP	https://www.accessibilityassociation.org/s/
102	U.S. Web Design System	https://designsystem.digital.gov/documentation/accessibility/
116	mindscreen	https://www.mindscreen.de/
117	American Printing House	https://www.aph.org/accessibility-solutions/
117	Digital Accessibility Centre	https://www.digitalaccessibilitycentre.org/
121	Barrier Break	https://www.barrierbreak.com/
131	Funka	https://www.funka.com/en/
135	Evinced	https://www.evinced.com/
138	Zugang für alle	https://www.access-for-all.ch/ch/
143	UsableNet	https://usablenet.com/
160	Converge Accessibility	https://convergeaccessibility.com/
162	Knowbility	https://knowbility.org/
175	eSSENTIAL Accessibility	https://www.essentialaccessibility.com/
188	Mozilla	https://www.mozilla.org/en-US/
191	Tenon	https://tenon.io/
200	Equal Entry	https://equalentry.com/
202	PEAT	https://www.peatworks.org/
213	WeCo	https://theweco.com/
215	AccessibilityOz	https://www.accessibilityoz.com/
231	Level Access	https://www.levelaccess.com/
232	Accessibility Shield	https://www.accessibilityshield.com/
244	Fundación Hearcolors	https://www.hearcolors.com.mx/
265	CSUN Center on Disabilities	https://www.csun.edu/cod
267	BFIT-Bund	https://www.bfit-bund.de/DE/Home/home_node.html
297	Online ADA	https://onlineada.com/
316	My Blind Spot	https://myblindspot.org/
336	AbilityNet	https://www.abilitynet.org.uk/
391	Crawford Technologies	https://www.crawfordtech.com/accessibilitynow
481	Atos	https://atos.net/en/lp/accessibility-and-assistive-technology-iux
550	Microassist	https://www.microassist.com/
555	Viscardi Center	https://www.viscardicenter.org/digital-accessibility-services/web-accessibility/
571	AudioEye	https://www.audioeye.com/
658	Georgia Tech CIDI	https://cidi.gatech.edu/
936	Accessible Web	https://accessibleweb.com/
1014	Vision Australia	https://www.visionaustralia.org/services/digital-access
1017	TPGi	https://www.tpgi.com/
1155	Deque	https://deque.com/
2462	Siteimprove	https://siteimprove.com/en-us/accessibility/
3370	AccessiBe	https://accessibe.com/
